realcoeff,binnedcoeff
2.6701742,2.6701742
17.6260996,10.0
0.8664308,0.8664308
-1.5932987,-1.5932987
2.9315302,2.9315302
20.1507521,10.0
-0.5202734,-0.5202734
17.422207,10.0
-0.8490832,-0.8490832
0.4941241,0.4941241
18.4779102,10.0
1.3290064,1.3290064
19.1978518,10.0
3.4721287,3.4721287
2.5985768,2.5985768
2.8332429,2.8332429
-0.4018827,-0.4018827
-0.1159102,-0.1159102
2.2033946,2.2033946
-2.6701742,-2.6701742
14.9559254,10.0
-1.8037434,-1.8037434
-4.2634729,-4.2634729
0.261356,0.261356
17.4805779,10.0
-3.1904476,-3.1904476
14.7520328,10.0
-3.5192574,-3.5192574
-2.1760501,-2.1760501
15.807736,10.0
-1.3411678,-1.3411678
16.5276776,10.0
0.8019545,0.8019545
-0.0715974,-0.0715974
0.1630687,0.1630687
-3.0720569,-3.0720569
-2.7860844,-2.7860844
-0.4667796,-0.4667796
-17.6260996,-10.0
-14.9559254,-10.0
-16.7596688,-10.0
-19.2193983,-10.0
-14.6945694,-10.0
2.5246525,2.5246525
-18.146373,-10.0
-0.2038926,-0.2038926
-18.4751828,-10.0
-17.1319755,-10.0
0.8518106,0.8518106
-16.2970932,-10.0
1.5717522,1.5717522
-14.1539709,-10.0
-15.0275228,-10.0
-14.7928567,-10.0
-18.0279823,-10.0
-17.7420098,-10.0
-15.422705,-10.0
-0.8664308,-0.8664308
1.8037434,1.8037434
16.7596688,10.0
-2.4597295,-2.4597295
2.0650994,2.0650994
19.2843213,10.0
-1.3867042,-1.3867042
16.5557762,10.0
-1.715514,-1.715514
-0.3723067,-0.3723067
17.6114794,10.0
0.4625756,0.4625756
18.331421,10.0
2.6056979,2.6056979
1.732146,1.732146
1.9668121,1.9668121
-1.2683135,-1.2683135
-0.982341,-0.982341
1.3369638,1.3369638
1.5932987,1.5932987
4.2634729,4.2634729
19.2193983,10.0
2.4597295,2.4597295
4.5248289,4.5248289
21.7440508,10.0
1.0730253,1.0730253
19.0155057,10.0
0.7442155,0.7442155
2.0874228,2.0874228
20.0712089,10.0
2.9223051,2.9223051
20.7911505,10.0
5.0654274,5.0654274
4.1918755,4.1918755
4.4265416,4.4265416
1.191416,1.191416
1.4773885,1.4773885
3.7966933,3.7966933
-2.9315302,-2.9315302
-0.261356,-0.261356
14.6945694,10.0
-2.0650994,-2.0650994
-4.5248289,-4.5248289
17.2192219,10.0
-3.4518036,-3.4518036
14.4906768,10.0
-3.7806134,-3.7806134
-2.4374061,-2.4374061
15.54638,10.0
-1.6025238,-1.6025238
16.2663216,10.0
0.5405985,0.5405985
-0.3329534,-0.3329534
-0.0982873,-0.0982873
-3.3334129,-3.3334129
-3.0474404,-3.0474404
-0.7281356,-0.7281356
-20.1507521,-10.0
-17.4805779,-10.0
-2.5246525,-2.5246525
-19.2843213,-10.0
-21.7440508,-10.0
-17.2192219,-10.0
-20.6710255,-10.0
-2.7285451,-2.7285451
-20.9998353,-10.0
-19.656628,-10.0
-1.6728419,-1.6728419
-18.8217457,-10.0
-0.9529003,-0.9529003
-16.6786234,-10.0
-17.5521753,-10.0
-17.3175092,-10.0
-20.5526348,-10.0
-20.2666623,-10.0
-17.9473575,-10.0
0.5202734,0.5202734
3.1904476,3.1904476
18.146373,10.0
1.3867042,1.3867042
-1.0730253,-1.0730253
3.4518036,3.4518036
20.6710255,10.0
17.9424804,10.0
-0.3288098,-0.3288098
1.0143975,1.0143975
18.9981836,10.0
1.8492798,1.8492798
19.7181252,10.0
3.9924021,3.9924021
3.1188502,3.1188502
3.3535163,3.3535163
0.1183907,0.1183907
0.4043632,0.4043632
2.723668,2.723668
-17.422207,-10.0
-14.7520328,-10.0
0.2038926,0.2038926
-16.5557762,-10.0
-19.0155057,-10.0
-14.4906768,-10.0
2.7285451,2.7285451
-17.9424804,-10.0
-18.2712902,-10.0
-16.9280829,-10.0
1.0557032,1.0557032
-16.0932006,-10.0
1.7756448,1.7756448
-13.9500783,-10.0
-14.8236302,-10.0
-14.5889641,-10.0
-17.8240897,-10.0
-17.5381172,-10.0
-15.2188124,-10.0
0.8490832,0.8490832
3.5192574,3.5192574
18.4751828,10.0
1.715514,1.715514
-0.7442155,-0.7442155
3.7806134,3.7806134
20.9998353,10.0
0.3288098,0.3288098
18.2712902,10.0
1.3432073,1.3432073
19.3269934,10.0
2.1780896,2.1780896
20.046935,10.0
4.3212119,4.3212119
3.44766,3.44766
3.6823261,3.6823261
0.4472005,0.4472005
0.733173,0.733173
3.0524778,3.0524778
-0.4941241,-0.4941241
2.1760501,2.1760501
17.1319755,10.0
0.3723067,0.3723067
-2.0874228,-2.0874228
2.4374061,2.4374061
19.656628,10.0
-1.0143975,-1.0143975
16.9280829,10.0
-1.3432073,-1.3432073
17.9837861,10.0
0.8348823,0.8348823
18.7037277,10.0
2.9780046,2.9780046
2.1044527,2.1044527
2.3391188,2.3391188
-0.8960068,-0.8960068
-0.6100343,-0.6100343
1.7092705,1.7092705
-18.4779102,-10.0
-15.807736,-10.0
-0.8518106,-0.8518106
-17.6114794,-10.0
-20.0712089,-10.0
-15.54638,-10.0
1.6728419,1.6728419
-18.9981836,-10.0
-1.0557032,-1.0557032
-19.3269934,-10.0
-17.9837861,-10.0
-17.1489038,-10.0
0.7199416,0.7199416
-15.0057815,-10.0
-15.8793334,-10.0
-15.6446673,-10.0
-18.8797929,-10.0
-18.5938204,-10.0
-16.2745156,-10.0
-1.3290064,-1.3290064
1.3411678,1.3411678
16.2970932,10.0
-0.4625756,-0.4625756
-2.9223051,-2.9223051
1.6025238,1.6025238
18.8217457,10.0
-1.8492798,-1.8492798
16.0932006,10.0
-2.1780896,-2.1780896
-0.8348823,-0.8348823
17.1489038,10.0
17.8688454,10.0
2.1431223,2.1431223
1.2695704,1.2695704
1.5042365,1.5042365
-1.7308891,-1.7308891
-1.4449166,-1.4449166
0.8743882,0.8743882
-19.1978518,-10.0
-16.5276776,-10.0
-1.5717522,-1.5717522
-18.331421,-10.0
-20.7911505,-10.0
-16.2663216,-10.0
0.9529003,0.9529003
-19.7181252,-10.0
-1.7756448,-1.7756448
-20.046935,-10.0
-18.7037277,-10.0
-0.7199416,-0.7199416
-17.8688454,-10.0
-15.7257231,-10.0
-16.599275,-10.0
-16.3646089,-10.0
-19.5997345,-10.0
-19.313762,-10.0
-16.9944572,-10.0
-3.4721287,-3.4721287
-0.8019545,-0.8019545
14.1539709,10.0
-2.6056979,-2.6056979
-5.0654274,-5.0654274
-0.5405985,-0.5405985
16.6786234,10.0
-3.9924021,-3.9924021
13.9500783,10.0
-4.3212119,-4.3212119
-2.9780046,-2.9780046
15.0057815,10.0
-2.1431223,-2.1431223
15.7257231,10.0
-0.8735519,-0.8735519
-0.6388858,-0.6388858
-3.8740114,-3.8740114
-3.5880389,-3.5880389
-1.2687341,-1.2687341
-2.5985768,-2.5985768
0.0715974,0.0715974
15.0275228,10.0
-1.732146,-1.732146
-4.1918755,-4.1918755
0.3329534,0.3329534
17.5521753,10.0
-3.1188502,-3.1188502
14.8236302,10.0
-3.44766,-3.44766
-2.1044527,-2.1044527
15.8793334,10.0
-1.2695704,-1.2695704
16.599275,10.0
0.8735519,0.8735519
0.2346661,0.2346661
-3.0004595,-3.0004595
-2.714487,-2.714487
-0.3951822,-0.3951822
-2.8332429,-2.8332429
-0.1630687,-0.1630687
14.7928567,10.0
-1.9668121,-1.9668121
-4.4265416,-4.4265416
0.0982873,0.0982873
17.3175092,10.0
-3.3535163,-3.3535163
14.5889641,10.0
-3.6823261,-3.6823261
-2.3391188,-2.3391188
15.6446673,10.0
-1.5042365,-1.5042365
16.3646089,10.0
0.6388858,0.6388858
-0.2346661,-0.2346661
-3.2351256,-3.2351256
-2.9491531,-2.9491531
-0.6298483,-0.6298483
0.4018827,0.4018827
3.0720569,3.0720569
18.0279823,10.0
1.2683135,1.2683135
-1.191416,-1.191416
3.3334129,3.3334129
20.5526348,10.0
-0.1183907,-0.1183907
17.8240897,10.0
-0.4472005,-0.4472005
0.8960068,0.8960068
18.8797929,10.0
1.7308891,1.7308891
19.5997345,10.0
3.8740114,3.8740114
3.0004595,3.0004595
3.2351256,3.2351256
0.2859725,0.2859725
2.6052773,2.6052773
0.1159102,0.1159102
2.7860844,2.7860844
17.7420098,10.0
0.982341,0.982341
-1.4773885,-1.4773885
3.0474404,3.0474404
20.2666623,10.0
-0.4043632,-0.4043632
17.5381172,10.0
-0.733173,-0.733173
0.6100343,0.6100343
18.5938204,10.0
1.4449166,1.4449166
19.313762,10.0
3.5880389,3.5880389
2.714487,2.714487
2.9491531,2.9491531
-0.2859725,-0.2859725
2.3193048,2.3193048
-2.2033946,-2.2033946
0.4667796,0.4667796
15.422705,10.0
-1.3369638,-1.3369638
-3.7966933,-3.7966933
0.7281356,0.7281356
17.9473575,10.0
-2.723668,-2.723668
15.2188124,10.0
-3.0524778,-3.0524778
-1.7092705,-1.7092705
16.2745156,10.0
-0.8743882,-0.8743882
16.9944572,10.0
1.2687341,1.2687341
0.3951822,0.3951822
0.6298483,0.6298483
-2.6052773,-2.6052773
-2.3193048,-2.3193048
20.5786501,10.0
-0.0845753,-0.0845753
-0.3561291,-0.3561291
0.9098697,0.9098697
18.5441165,10.0
2.2980811,2.2980811
3.1215062,3.1215062
-1.4967061,-1.4967061
1.6293368,1.6293368
17.6432877,10.0
0.1757342,0.1757342
1.7459779,1.7459779
-0.0324445,-0.0324445
-0.4213177,-0.4213177
0.3726784,0.3726784
1.0434351,1.0434351
3.5829036,3.5829036
15.9473196,10.0
1.08889,1.08889
-20.5786501,-10.0
-20.6632254,-10.0
-20.9347792,-10.0
-19.6687804,-10.0
-2.0345336,-2.0345336
-18.280569,-10.0
-17.4571439,-10.0
-22.0753562,-10.0
-18.9493133,-10.0
-2.9353624,-2.9353624
-20.4029159,-10.0
-18.8326722,-10.0
-20.6110946,-10.0
-20.9999678,-10.0
-20.2059717,-10.0
-19.535215,-10.0
-16.9957465,-10.0
-4.6313305,-4.6313305
-19.4897601,-10.0
0.0845753,0.0845753
20.6632254,10.0
-0.2715538,-0.2715538
0.994445,0.994445
18.6286918,10.0
2.3826564,2.3826564
3.2060815,3.2060815
-1.4121308,-1.4121308
1.7139121,1.7139121
17.727863,10.0
0.2603095,0.2603095
1.8305532,1.8305532
0.0521308,0.0521308
-0.3367424,-0.3367424
0.4572537,0.4572537
1.1280104,1.1280104
3.6674789,3.6674789
16.0318949,10.0
1.1734653,1.1734653
0.3561291,0.3561291
20.9347792,10.0
0.2715538,0.2715538
1.2659988,1.2659988
18.9002456,10.0
2.6542102,2.6542102
3.4776353,3.4776353
-1.140577,-1.140577
1.9854659,1.9854659
17.9994168,10.0
0.5318633,0.5318633
2.102107,2.102107
0.3236846,0.3236846
-0.0651886,-0.0651886
0.7288075,0.7288075
1.3995642,1.3995642
3.9390327,3.9390327
16.3034487,10.0
1.4450191,1.4450191
-0.9098697,-0.9098697
19.6687804,10.0
-0.994445,-0.994445
-1.2659988,-1.2659988
17.6342468,10.0
1.3882114,1.3882114
2.2116365,2.2116365
-2.4065758,-2.4065758
0.7194671,0.7194671
16.733418,10.0
-0.7341355,-0.7341355
0.8361082,0.8361082
-0.9423142,-0.9423142
-1.3311874,-1.3311874
-0.5371913,-0.5371913
0.1335654,0.1335654
2.6730339,2.6730339
15.0374499,10.0
0.1790203,0.1790203
-18.5441165,-10.0
2.0345336,2.0345336
-18.6286918,-10.0
-18.9002456,-10.0
-17.6342468,-10.0
-16.2460354,-10.0
-15.4226103,-10.0
-20.0408226,-10.0
-16.9147797,-10.0
-0.9008288,-0.9008288
-18.3683823,-10.0
-16.7981386,-10.0
-18.576561,-10.0
-18.9654342,-10.0
-18.1714381,-10.0
-17.5006814,-10.0
-14.9612129,-10.0
-2.5967969,-2.5967969
-17.4552265,-10.0
-2.2980811,-2.2980811
18.280569,10.0
-2.3826564,-2.3826564
-2.6542102,-2.6542102
-1.3882114,-1.3882114
16.2460354,10.0
0.8234251,0.8234251
-3.7947872,-3.7947872
-0.6687443,-0.6687443
15.3452066,10.0
-2.1223469,-2.1223469
-0.5521032,-0.5521032
-2.3305256,-2.3305256
-2.7193988,-2.7193988
-1.9254027,-1.9254027
-1.254646,-1.254646
1.2848225,1.2848225
13.6492385,10.0
-1.2091911,-1.2091911
-3.1215062,-3.1215062
17.4571439,10.0
-3.2060815,-3.2060815
-3.4776353,-3.4776353
-2.2116365,-2.2116365
15.4226103,10.0
-0.8234251,-0.8234251
-4.6182123,-4.6182123
-1.4921694,-1.4921694
14.5217815,10.0
-2.945772,-2.945772
-1.3755283,-1.3755283
-3.1539507,-3.1539507
-3.5428239,-3.5428239
-2.7488278,-2.7488278
-2.0780711,-2.0780711
0.4613974,0.4613974
12.8258134,10.0
-2.0326162,-2.0326162
1.4967061,1.4967061
22.0753562,10.0
1.4121308,1.4121308
1.140577,1.140577
2.4065758,2.4065758
20.0408226,10.0
3.7947872,3.7947872
4.6182123,4.6182123
3.1260429,3.1260429
19.1399938,10.0
1.6724403,1.6724403
3.242684,3.242684
1.4642616,1.4642616
1.0753884,1.0753884
1.8693845,1.8693845
2.5401412,2.5401412
5.0796097,5.0796097
17.4440257,10.0
2.5855961,2.5855961
-1.6293368,-1.6293368
18.9493133,10.0
-1.7139121,-1.7139121
-1.9854659,-1.9854659
-0.7194671,-0.7194671
16.9147797,10.0
0.6687443,0.6687443
1.4921694,1.4921694
