realcoeff,binnedcoeff
5.9755639,5.9755639
7.7672759,7.7672759
8.1417103,8.1417103
3.0152139,3.0152139
8.1415517,8.1415517
1.9472606,1.9472606
8.1416864,8.1416864
-12.8582858,-10.0
7.3051171,7.3051171
-10.0895758,-10.0
8.1417097,8.1417097
7.8999156,7.8999156
7.9378717,7.9378717
-7.6002764,-7.6002764
6.1453575,6.1453575
8.1417141,8.1417141
4.2191803,4.2191803
5.2291833,5.2291833
3.4032129,3.4032129
-5.9755639,-5.9755639
1.791712,1.791712
2.1661464,2.1661464
-2.96035,-2.96035
2.1659878,2.1659878
-4.0283033,-4.0283033
2.1661225,2.1661225
-18.8338497,-10.0
1.3295532,1.3295532
-16.0651397,-10.0
2.1661458,2.1661458
1.9243517,1.9243517
1.9623078,1.9623078
-13.5758403,-10.0
0.1697936,0.1697936
2.1661502,2.1661502
-1.7563836,-1.7563836
-0.7463806,-0.7463806
-2.572351,-2.572351
-7.7672759,-7.7672759
-1.791712,-1.791712
0.3744344,0.3744344
-4.752062,-4.752062
0.3742758,0.3742758
-5.8200153,-5.8200153
0.3744105,0.3744105
-20.6255617,-10.0
-0.4621588,-0.4621588
-17.8568517,-10.0
0.3744338,0.3744338
0.1326397,0.1326397
0.1705958,0.1705958
-15.3675523,-10.0
-1.6219184,-1.6219184
0.3744382,0.3744382
-3.5480956,-3.5480956
-2.5380926,-2.5380926
-4.364063,-4.364063
-8.1417103,-8.1417103
-2.1661464,-2.1661464
-0.3744344,-0.3744344
-5.1264964,-5.1264964
-0.000158599999999,-0.000158599999999
-6.1944497,-6.1944497
-2.39000000022e-05,-2.39000000022e-05
-20.9999961,-10.0
-0.8365932,-0.8365932
-18.2312861,-10.0
-5.99999999906e-07,-5.99999999906e-07
-0.2417947,-0.2417947
-0.2038386,-0.2038386
-15.7419867,-10.0
-1.9963528,-1.9963528
3.79999999822e-06,3.79999999822e-06
-3.92253,-3.92253
-2.912527,-2.912527
-4.7384974,-4.7384974
-3.0152139,-3.0152139
2.96035,2.96035
4.752062,4.752062
5.1264964,5.1264964
5.1263378,5.1263378
-1.0679533,-1.0679533
5.1264725,5.1264725
-15.8734997,-10.0
4.2899032,4.2899032
-13.1047897,-10.0
5.1264958,5.1264958
4.8847017,4.8847017
4.9226578,4.9226578
-10.6154903,-10.0
3.1301436,3.1301436
5.1265002,5.1265002
1.2039664,1.2039664
2.2139694,2.2139694
0.387999,0.387999
-8.1415517,-8.1415517
-2.1659878,-2.1659878
-0.3742758,-0.3742758
0.000158599999999,0.000158599999999
-5.1263378,-5.1263378
-6.1942911,-6.1942911
0.000134699999997,0.000134699999997
-20.9998375,-10.0
-0.8364346,-0.8364346
-18.2311275,-10.0
0.000157999999999,0.000157999999999
-0.2416361,-0.2416361
-0.20368,-0.20368
-15.7418281,-10.0
-1.9961942,-1.9961942
0.000162399999997,0.000162399999997
-3.9223714,-3.9223714
-2.9123684,-2.9123684
-4.7383388,-4.7383388
-1.9472606,-1.9472606
4.0283033,4.0283033
5.8200153,5.8200153
6.1944497,6.1944497
1.0679533,1.0679533
6.1942911,6.1942911
6.1944258,6.1944258
-14.8055464,-10.0
5.3578565,5.3578565
-12.0368364,-10.0
6.1944491,6.1944491
5.952655,5.952655
5.9906111,5.9906111
-9.547537,-9.547537
4.1980969,4.1980969
6.1944535,6.1944535
2.2719197,2.2719197
3.2819227,3.2819227
1.4559523,1.4559523
-8.1416864,-8.1416864
-2.1661225,-2.1661225
-0.3744105,-0.3744105
2.39000000022e-05,2.39000000022e-05
-5.1264725,-5.1264725
-0.000134699999997,-0.000134699999997
-6.1944258,-6.1944258
-20.9999722,-10.0
-0.8365693,-0.8365693
-18.2312622,-10.0
2.33000000023e-05,2.33000000023e-05
-0.2417708,-0.2417708
-0.2038147,-0.2038147
-15.7419628,-10.0
-1.9963289,-1.9963289
2.77000000004e-05,2.77000000004e-05
-3.9225061,-3.9225061
-2.9125031,-2.9125031
-4.7384735,-4.7384735
12.8582858,-10.0
18.8338497,-10.0
20.6255617,-10.0
20.9999961,-10.0
15.8734997,-10.0
20.9998375,-10.0
14.8055464,-10.0
20.9999722,-10.0
20.1634029,-10.0
2.76871,2.76871
20.9999955,-10.0
20.7582014,-10.0
20.7961575,-10.0
5.2580094,5.2580094
19.0036433,-10.0
20.9999999,-10.0
17.0774661,-10.0
18.0874691,-10.0
16.2614987,-10.0
-7.3051171,-7.3051171
-1.3295532,-1.3295532
0.4621588,0.4621588
0.8365932,0.8365932
-4.2899032,-4.2899032
0.8364346,0.8364346
-5.3578565,-5.3578565
0.8365693,0.8365693
-20.1634029,-10.0
-17.3946929,-10.0
0.8365926,0.8365926
0.5947985,0.5947985
0.6327546,0.6327546
-14.9053935,-10.0
-1.1597596,-1.1597596
0.836597,0.836597
-3.0859368,-3.0859368
-2.0759338,-2.0759338
-3.9019042,-3.9019042
10.0895758,-10.0
16.0651397,-10.0
17.8568517,-10.0
18.2312861,-10.0
13.1047897,-10.0
18.2311275,-10.0
12.0368364,-10.0
18.2312622,-10.0
-2.76871,-2.76871
17.3946929,-10.0
18.2312855,-10.0
17.9894914,-10.0
18.0274475,-10.0
2.4892994,2.4892994
16.2349333,-10.0
18.2312899,-10.0
14.3087561,-10.0
15.3187591,-10.0
13.4927887,-10.0
-8.1417097,-8.1417097
-2.1661458,-2.1661458
-0.3744338,-0.3744338
5.99999999906e-07,5.99999999906e-07
-5.1264958,-5.1264958
-0.000157999999999,-0.000157999999999
-6.1944491,-6.1944491
-2.33000000023e-05,-2.33000000023e-05
-20.9999955,-10.0
-0.8365926,-0.8365926
-18.2312855,-10.0
-0.2417941,-0.2417941
-0.203838,-0.203838
-15.7419861,-10.0
-1.9963522,-1.9963522
4.39999999813e-06,4.39999999813e-06
-3.9225294,-3.9225294
-2.9125264,-2.9125264
-4.7384968,-4.7384968
-7.8999156,-7.8999156
-1.9243517,-1.9243517
-0.1326397,-0.1326397
0.2417947,0.2417947
-4.8847017,-4.8847017
0.2416361,0.2416361
-5.952655,-5.952655
0.2417708,0.2417708
-20.7582014,-10.0
-0.5947985,-0.5947985
-17.9894914,-10.0
0.2417941,0.2417941
0.0379561,0.0379561
-15.500192,-10.0
-1.7545581,-1.7545581
0.2417985,0.2417985
-3.6807353,-3.6807353
-2.6707323,-2.6707323
-4.4967027,-4.4967027
-7.9378717,-7.9378717
-1.9623078,-1.9623078
-0.1705958,-0.1705958
0.2038386,0.2038386
-4.9226578,-4.9226578
0.20368,0.20368
-5.9906111,-5.9906111
0.2038147,0.2038147
-20.7961575,-10.0
-0.6327546,-0.6327546
-18.0274475,-10.0
0.203838,0.203838
-0.0379561,-0.0379561
-15.5381481,-10.0
-1.7925142,-1.7925142
0.2038424,0.2038424
-3.7186914,-3.7186914
-2.7086884,-2.7086884
-4.5346588,-4.5346588
7.6002764,7.6002764
13.5758403,-10.0
15.3675523,-10.0
15.7419867,-10.0
10.6154903,-10.0
15.7418281,-10.0
9.547537,9.547537
15.7419628,-10.0
-5.2580094,-5.2580094
14.9053935,-10.0
-2.4892994,-2.4892994
15.7419861,-10.0
15.500192,-10.0
15.5381481,-10.0
13.7456339,-10.0
15.7419905,-10.0
11.8194567,-10.0
12.8294597,-10.0
11.0034893,-10.0
-6.1453575,-6.1453575
-0.1697936,-0.1697936
1.6219184,1.6219184
1.9963528,1.9963528
-3.1301436,-3.1301436
1.9961942,1.9961942
-4.1980969,-4.1980969
1.9963289,1.9963289
-19.0036433,-10.0
1.1597596,1.1597596
-16.2349333,-10.0
1.9963522,1.9963522
1.7545581,1.7545581
1.7925142,1.7925142
-13.7456339,-10.0
1.9963566,1.9963566
-1.9261772,-1.9261772
-0.9161742,-0.9161742
-2.7421446,-2.7421446
-8.1417141,-8.1417141
-2.1661502,-2.1661502
-0.3744382,-0.3744382
-3.79999999822e-06,-3.79999999822e-06
-5.1265002,-5.1265002
-0.000162399999997,-0.000162399999997
-6.1944535,-6.1944535
-2.77000000004e-05,-2.77000000004e-05
-20.9999999,-10.0
-0.836597,-0.836597
-18.2312899,-10.0
-4.39999999813e-06,-4.39999999813e-06
-0.2417985,-0.2417985
-0.2038424,-0.2038424
-15.7419905,-10.0
-1.9963566,-1.9963566
-3.9225338,-3.9225338
-2.9125308,-2.9125308
-4.7385012,-4.7385012
-4.2191803,-4.2191803
1.7563836,1.7563836
3.5480956,3.5480956
3.92253,3.92253
-1.2039664,-1.2039664
3.9223714,3.9223714
-2.2719197,-2.2719197
3.9225061,3.9225061
-17.0774661,-10.0
3.0859368,3.0859368
-14.3087561,-10.0
3.9225294,3.9225294
3.6807353,3.6807353
3.7186914,3.7186914
-11.8194567,-10.0
1.9261772,1.9261772
3.9225338,3.9225338
1.010003,1.010003
-0.8159674,-0.8159674
-5.2291833,-5.2291833
0.7463806,0.7463806
2.5380926,2.5380926
2.912527,2.912527
-2.2139694,-2.2139694
2.9123684,2.9123684
-3.2819227,-3.2819227
2.9125031,2.9125031
-18.0874691,-10.0
2.0759338,2.0759338
-15.3187591,-10.0
2.9125264,2.9125264
2.6707323,2.6707323
2.7086884,2.7086884
-12.8294597,-10.0
0.9161742,0.9161742
2.9125308,2.9125308
-1.010003,-1.010003
-1.8259704,-1.8259704
-3.4032129,-3.4032129
2.572351,2.572351
4.364063,4.364063
4.7384974,4.7384974
-0.387999,-0.387999
4.7383388,4.7383388
-1.4559523,-1.4559523
4.7384735,4.7384735
-16.2614987,-10.0
3.9019042,3.9019042
-13.4927887,-10.0
4.7384968,4.7384968
4.4967027,4.4967027
4.5346588,4.5346588
-11.0034893,-10.0
2.7421446,2.7421446
4.7385012,4.7385012
0.8159674,0.8159674
1.8259704,1.8259704
-4.0737658,-4.0737658
15.0291855,-10.0
10.0291255,-10.0
0.4087007,0.4087007
0.7137077,0.7137077
14.1750561,-10.0
0.7773414,0.7773414
16.9257936,-10.0
-1.2783508,-1.2783508
13.467805,-10.0
10.1191528,-10.0
15.5770543,-10.0
16.9262334,-10.0
16.895609,-10.0
0.9263807,0.9263807
15.301068,-10.0
14.1355939,-10.0
16.8159574,-10.0
16.9259922,-10.0
4.0737658,4.0737658
19.1029513,-10.0
14.1028913,-10.0
4.4824665,4.4824665
4.7874735,4.7874735
18.2488219,-10.0
4.8511072,4.8511072
20.9995594,-10.0
2.795415,2.795415
17.5415708,-10.0
14.1929186,-10.0
19.6508201,-10.0
20.9999992,-10.0
20.9693748,-10.0
5.0001465,5.0001465
19.3748338,-10.0
18.2093597,-10.0
20.8897232,-10.0
20.999758,-10.0
-15.0291855,-10.0
-19.1029513,-10.0
-5.00006,-5.00006
-14.6204848,-10.0
-14.3154778,-10.0
-0.8541294,-0.8541294
-14.2518441,-10.0
1.8966081,1.8966081
-16.3075363,-10.0
-1.5613805,-1.5613805
-4.9100327,-4.9100327
0.5478688,0.5478688
1.8970479,1.8970479
1.8664235,1.8664235
-14.1028048,-10.0
0.2718825,0.2718825
-0.8935916,-0.8935916
1.7867719,1.7867719
1.8968067,1.8968067
-10.0291255,-10.0
-14.1028913,-10.0
5.00006,5.00006
-9.6204248,-9.6204248
-9.3154178,-9.3154178
4.1459306,4.1459306
-9.2517841,-9.2517841
6.8966681,6.8966681
-11.3074763,-10.0
3.4386795,3.4386795
0.0900273,0.0900273
5.5479288,5.5479288
6.8971079,6.8971079
6.8664835,6.8664835
-9.1027448,-9.1027448
5.2719425,5.2719425
4.1064684,4.1064684
6.7868319,6.7868319
6.8968667,6.8968667
-0.4087007,-0.4087007
-4.4824665,-4.4824665
14.6204848,-10.0
9.6204248,9.6204248
0.305007,0.305007
13.7663554,-10.0
0.3686407,0.3686407
16.5170929,-10.0
-1.6870515,-1.6870515
13.0591043,-10.0
9.7104521,9.7104521
15.1683536,-10.0
16.5175327,-10.0
16.4869083,-10.0
0.51768,0.51768
14.8923673,-10.0
13.7268932,-10.0
16.4072567,-10.0
16.5172915,-10.0
-0.7137077,-0.7137077
-4.7874735,-4.7874735
14.3154778,-10.0
9.3154178,9.3154178
-0.305007,-0.305007
13.4613484,-10.0
0.0636337,0.0636337
16.2120859,-10.0
-1.9920585,-1.9920585
12.7540973,-10.0
9.4054451,9.4054451
14.8633466,-10.0
16.2125257,-10.0
16.1819013,-10.0
0.212673,0.212673
14.5873603,-10.0
13.4218862,-10.0
16.1022497,-10.0
16.2122845,-10.0
-14.1750561,-10.0
-18.2488219,-10.0
0.8541294,0.8541294
-4.1459306,-4.1459306
-13.7663554,-10.0
-13.4613484,-10.0
-13.3977147,-10.0
2.7507375,2.7507375
-15.4534069,-10.0
-0.7072511,-0.7072511
-4.0559033,-4.0559033
1.4019982,1.4019982
2.7511773,2.7511773
2.7205529,2.7205529
-13.2486754,-10.0
1.1260119,1.1260119
-0.0394622,-0.0394622
2.6409013,2.6409013
2.7509361,2.7509361
-0.7773414,-0.7773414
-4.8511072,-4.8511072
14.2518441,-10.0
9.2517841,9.2517841
-0.3686407,-0.3686407
-0.0636337,-0.0636337
13.3977147,-10.0
16.1484522,-10.0
-2.0556922,-2.0556922
12.6904636,-10.0
9.3418114,9.3418114
14.7997129,-10.0
16.148892,-10.0
16.1182676,-10.0
0.1490393,0.1490393
14.5237266,-10.0
13.3582525,-10.0
16.038616,-10.0
16.1486508,-10.0
-16.9257936,-10.0
-20.9995594,-10.0
-1.8966081,-1.8966081
-6.8966681,-6.8966681
-16.5170929,-10.0
-16.2120859,-10.0
-2.7507375,-2.7507375
-16.1484522,-10.0
-18.2041444,-10.0
-3.4579886,-3.4579886
-6.8066408,-6.8066408
-1.3487393,-1.3487393
0.000439800000002,0.000439800000002
-0.0301846,-0.0301846
-15.9994129,-10.0
-1.6247256,-1.6247256
-2.7901997,-2.7901997
-0.1098362,-0.1098362
0.000198600000001,0.000198600000001
1.2783508,1.2783508
-2.795415,-2.795415
16.3075363,-10.0
11.3074763,-10.0
1.6870515,1.6870515
1.9920585,1.9920585
15.4534069,-10.0
2.0556922,2.0556922
18.2041444,-10.0
14.7461558,-10.0
11.3975036,-10.0
16.8554051,-10.0
18.2045842,-10.0
18.1739598,-10.0
2.2047315,2.2047315
16.5794188,-10.0
15.4139447,-10.0
18.0943082,-10.0
18.204343,-10.0
-13.467805,-10.0
-17.5415708,-10.0
1.5613805,1.5613805
-3.4386795,-3.4386795
-13.0591043,-10.0
-12.7540973,-10.0
0.7072511,0.7072511
-12.6904636,-10.0
3.4579886,3.4579886
-14.7461558,-10.0
-3.3486522,-3.3486522
2.1092493,2.1092493
3.4584284,3.4584284
3.427804,3.427804
-12.5414243,-10.0
1.833263,1.833263
0.6677889,0.6677889
3.3481524,3.3481524
3.4581872,3.4581872
-10.1191528,-10.0
-14.1929186,-10.0
4.9100327,4.9100327
-0.0900273,-0.0900273
-9.7104521,-9.7104521
-9.4054451,-9.4054451
4.0559033,4.0559033
-9.3418114,-9.3418114
6.8066408,6.8066408
-11.3975036,-10.0
3.3486522,3.3486522
5.4579015,5.4579015
6.8070806,6.8070806
6.7764562,6.7764562
-9.1927721,-9.1927721
5.1819152,5.1819152
4.0164411,4.0164411
6.6968046,6.6968046
6.8068394,6.8068394
-15.5770543,-10.0
-19.6508201,-10.0
-0.5478688,-0.5478688
-5.5479288,-5.5479288
-15.1683536,-10.0
-14.8633466,-10.0
-1.4019982,-1.4019982
-14.7997129,-10.0
1.3487393,1.3487393
-16.8554051,-10.0
-2.1092493,-2.1092493
-5.4579015,-5.4579015
1.3491791,1.3491791
1.3185547,1.3185547
-14.6506736,-10.0
-0.2759863,-0.2759863
-1.4414604,-1.4414604
1.2389031,1.2389031
1.3489379,1.3489379
-16.9262334,-10.0
-20.9999992,-10.0
-1.8970479,-1.8970479
-6.8971079,-6.8971079
-16.5175327,-10.0
-16.2125257,-10.0
-2.7511773,-2.7511773
-16.148892,-10.0
-0.000439800000002,-0.000439800000002
-18.2045842,-10.0
-3.4584284,-3.4584284
-6.8070806,-6.8070806
-1.3491791,-1.3491791
-0.0306244,-0.0306244
-15.9998527,-10.0
-1.6251654,-1.6251654
-2.7906395,-2.7906395
-0.110276,-0.110276
-0.000241200000001,-0.000241200000001
-16.895609,-10.0
-20.9693748,-10.0
-1.8664235,-1.8664235
-6.8664835,-6.8664835
-16.4869083,-10.0
-16.1819013,-10.0
-2.7205529,-2.7205529
-16.1182676,-10.0
0.0301846,0.0301846
-18.1739598,-10.0
-3.427804,-3.427804
-6.7764562,-6.7764562
-1.3185547,-1.3185547
0.0306244,0.0306244
