realcoeff,binnedcoeff
0.5087977,0.5087977
6.1850047,6.1850047
6.3055197,6.3055197
2.0595575,2.0595575
0.6380966,0.6380966
0.8202954,0.8202954
1.1565221,1.1565221
6.0523646,6.0523646
1.1149924,1.1149924
1.0444438,1.0444438
5.0500016,5.0500016
7.2563488,7.2563488
6.632368,6.632368
7.8779683,7.8779683
5.7637417,5.7637417
3.1905246,3.1905246
1.4885369,1.4885369
0.917843,0.917843
1.9615275,1.9615275
-0.5087977,-0.5087977
5.676207,5.676207
5.796722,5.796722
1.5507598,1.5507598
0.1292989,0.1292989
0.3114977,0.3114977
0.6477244,0.6477244
5.5435669,5.5435669
0.6061947,0.6061947
0.5356461,0.5356461
4.5412039,4.5412039
6.7475511,6.7475511
6.1235703,6.1235703
7.3691706,7.3691706
5.254944,5.254944
2.6817269,2.6817269
0.9797392,0.9797392
0.4090453,0.4090453
1.4527298,1.4527298
-6.1850047,-6.1850047
-5.676207,-5.676207
0.120515,0.120515
-4.1254472,-4.1254472
-5.5469081,-5.5469081
-5.3647093,-5.3647093
-5.0284826,-5.0284826
-0.1326401,-0.1326401
-5.0700123,-5.0700123
-5.1405609,-5.1405609
-1.1350031,-1.1350031
1.0713441,1.0713441
0.4473633,0.4473633
1.6929636,1.6929636
-0.421263,-0.421263
-2.9944801,-2.9944801
-4.6964678,-4.6964678
-5.2671617,-5.2671617
-4.2234772,-4.2234772
-6.3055197,-6.3055197
-5.796722,-5.796722
-0.120515,-0.120515
-4.2459622,-4.2459622
-5.6674231,-5.6674231
-5.4852243,-5.4852243
-5.1489976,-5.1489976
-0.2531551,-0.2531551
-5.1905273,-5.1905273
-5.2610759,-5.2610759
-1.2555181,-1.2555181
0.9508291,0.9508291
0.3268483,0.3268483
1.5724486,1.5724486
-0.541778,-0.541778
-3.1149951,-3.1149951
-4.8169828,-4.8169828
-5.3876767,-5.3876767
-4.3439922,-4.3439922
-2.0595575,-2.0595575
-1.5507598,-1.5507598
4.1254472,4.1254472
4.2459622,4.2459622
-1.4214609,-1.4214609
-1.2392621,-1.2392621
-0.9030354,-0.9030354
3.9928071,3.9928071
-0.9445651,-0.9445651
-1.0151137,-1.0151137
2.9904441,2.9904441
5.1967913,5.1967913
4.5728105,4.5728105
5.8184108,5.8184108
3.7041842,3.7041842
1.1309671,1.1309671
-0.5710206,-0.5710206
-1.1417145,-1.1417145
-0.09803,-0.09803
-0.6380966,-0.6380966
-0.1292989,-0.1292989
5.5469081,5.5469081
5.6674231,5.6674231
1.4214609,1.4214609
0.1821988,0.1821988
0.5184255,0.5184255
5.414268,5.414268
0.4768958,0.4768958
0.4063472,0.4063472
4.411905,4.411905
6.6182522,6.6182522
5.9942714,5.9942714
7.2398717,7.2398717
5.1256451,5.1256451
2.552428,2.552428
0.8504403,0.8504403
0.2797464,0.2797464
1.3234309,1.3234309
-0.8202954,-0.8202954
-0.3114977,-0.3114977
5.3647093,5.3647093
5.4852243,5.4852243
1.2392621,1.2392621
-0.1821988,-0.1821988
0.3362267,0.3362267
5.2320692,5.2320692
0.294697,0.294697
0.2241484,0.2241484
4.2297062,4.2297062
6.4360534,6.4360534
5.8120726,5.8120726
7.0576729,7.0576729
4.9434463,4.9434463
2.3702292,2.3702292
0.6682415,0.6682415
0.0975476,0.0975476
1.1412321,1.1412321
-1.1565221,-1.1565221
-0.6477244,-0.6477244
5.0284826,5.0284826
5.1489976,5.1489976
0.9030354,0.9030354
-0.5184255,-0.5184255
-0.3362267,-0.3362267
4.8958425,4.8958425
-0.0415297,-0.0415297
-0.1120783,-0.1120783
3.8934795,3.8934795
6.0998267,6.0998267
5.4758459,5.4758459
6.7214462,6.7214462
4.6072196,4.6072196
2.0340025,2.0340025
0.3320148,0.3320148
-0.2386791,-0.2386791
0.8050054,0.8050054
-6.0523646,-6.0523646
-5.5435669,-5.5435669
0.1326401,0.1326401
0.2531551,0.2531551
-3.9928071,-3.9928071
-5.414268,-5.414268
-5.2320692,-5.2320692
-4.8958425,-4.8958425
-4.9373722,-4.9373722
-5.0079208,-5.0079208
-1.002363,-1.002363
1.2039842,1.2039842
0.5800034,0.5800034
1.8256037,1.8256037
-0.2886229,-0.2886229
-2.86184,-2.86184
-4.5638277,-4.5638277
-5.1345216,-5.1345216
-4.0908371,-4.0908371
-1.1149924,-1.1149924
-0.6061947,-0.6061947
5.0700123,5.0700123
5.1905273,5.1905273
0.9445651,0.9445651
-0.4768958,-0.4768958
-0.294697,-0.294697
0.0415297,0.0415297
4.9373722,4.9373722
-0.0705486,-0.0705486
3.9350092,3.9350092
6.1413564,6.1413564
5.5173756,5.5173756
6.7629759,6.7629759
4.6487493,4.6487493
2.0755322,2.0755322
0.3735445,0.3735445
-0.1971494,-0.1971494
0.8465351,0.8465351
-1.0444438,-1.0444438
-0.5356461,-0.5356461
5.1405609,5.1405609
5.2610759,5.2610759
1.0151137,1.0151137
-0.4063472,-0.4063472
-0.2241484,-0.2241484
0.1120783,0.1120783
5.0079208,5.0079208
0.0705486,0.0705486
4.0055578,4.0055578
6.211905,6.211905
5.5879242,5.5879242
6.8335245,6.8335245
4.7192979,4.7192979
2.1460808,2.1460808
0.4440931,0.4440931
-0.1266008,-0.1266008
0.9170837,0.9170837
-5.0500016,-5.0500016
-4.5412039,-4.5412039
1.1350031,1.1350031
1.2555181,1.2555181
-2.9904441,-2.9904441
-4.411905,-4.411905
-4.2297062,-4.2297062
-3.8934795,-3.8934795
1.002363,1.002363
-3.9350092,-3.9350092
-4.0055578,-4.0055578
2.2063472,2.2063472
1.5823664,1.5823664
2.8279667,2.8279667
0.7137401,0.7137401
-1.859477,-1.859477
-3.5614647,-3.5614647
-4.1321586,-4.1321586
-3.0884741,-3.0884741
-7.2563488,-7.2563488
-6.7475511,-6.7475511
-1.0713441,-1.0713441
-0.9508291,-0.9508291
-5.1967913,-5.1967913
-6.6182522,-6.6182522
-6.4360534,-6.4360534
-6.0998267,-6.0998267
-1.2039842,-1.2039842
-6.1413564,-6.1413564
-6.211905,-6.211905
-2.2063472,-2.2063472
-0.6239808,-0.6239808
0.6216195,0.6216195
-1.4926071,-1.4926071
-4.0658242,-4.0658242
-5.7678119,-5.7678119
-6.3385058,-6.3385058
-5.2948213,-5.2948213
-6.632368,-6.632368
-6.1235703,-6.1235703
-0.4473633,-0.4473633
-0.3268483,-0.3268483
-4.5728105,-4.5728105
-5.9942714,-5.9942714
-5.8120726,-5.8120726
-5.4758459,-5.4758459
-0.5800034,-0.5800034
-5.5173756,-5.5173756
-5.5879242,-5.5879242
-1.5823664,-1.5823664
0.6239808,0.6239808
1.2456003,1.2456003
-0.8686263,-0.8686263
-3.4418434,-3.4418434
-5.1438311,-5.1438311
-5.714525,-5.714525
-4.6708405,-4.6708405
-7.8779683,-7.8779683
-7.3691706,-7.3691706
-1.6929636,-1.6929636
-1.5724486,-1.5724486
-5.8184108,-5.8184108
-7.2398717,-7.2398717
-7.0576729,-7.0576729
-6.7214462,-6.7214462
-1.8256037,-1.8256037
-6.7629759,-6.7629759
-6.8335245,-6.8335245
-2.8279667,-2.8279667
